epoch,step_start,step_end,num_steps,avg_loss,lr
1,1,125,125,1.7088016738891603,7.999999999999991e-07
1,126,250,125,1.7088170909881593,1.0866197332298706e-05
1,251,375,125,1.5674699850082396,1.999998041895675e-05
1,376,500,125,1.455424433708191,1.9993889161805843e-05
1,501,625,125,1.3396270713806153,1.997692720748942e-05
1,626,750,125,1.2591728115081786,1.994911308025119e-05
1,751,875,125,1.1956699113845826,1.9910477156052674e-05
1,876,1000,125,1.1335344529151916,1.9861061629399434e-05
1,1001,1125,125,1.1054923744201661,1.980092046726025e-05
1,1126,1250,125,1.0711382932662963,1.973011935012946e-05
1,1251,1375,125,1.0438023896217345,1.9648735600296955e-05
1,1376,1500,125,1.0309302434921264,1.9556858097404074e-05
1,1501,1625,125,1.009812273979187,1.945458718137765e-05
1,1626,1750,125,0.997108911037445,1.9342034542848252e-05
1,1751,1875,125,0.9992387952804566,1.921932310117219e-05
1,1876,2000,125,0.9884261312484741,1.908658687019064e-05
1,2001,2125,125,0.9611634278297424,1.8943970811872388e-05
1,2126,2250,125,0.955573235988617,1.8791630678000035e-05
1,2251,2375,125,0.9468917527198791,1.8629732840072667e-05
1,2376,2500,125,0.9426278109550477,1.8458454107610586e-05
1,2501,2625,125,0.9433631210327148,1.8277981535060675e-05
1,2626,2750,125,0.9360195479393005,1.80885122175132e-05
1,2751,2875,125,0.9308950242996216,1.7890253075453185e-05
1,2876,3000,125,0.9189844961166382,1.7683420628781406e-05
1,3001,3125,125,0.9094333810806274,1.746824076035181e-05
1,3126,3250,125,0.9062579822540283,1.7244948469283615e-05
1,3251,3375,125,0.906019362449646,1.7013787614317476e-05
1,3376,3500,125,0.8901192183494568,1.6775010647496005e-05
1,3501,3625,125,0.8978815131187439,1.6528878338459516e-05
1,3626,3750,125,0.8940337390899659,1.6275659489658053e-05
1,3751,3875,125,0.8980166711807251,1.601563064279076e-05
1,3876,4000,125,0.8906268458366394,1.5749075776793177e-05
1,4001,4125,125,0.879804518699646,1.5476285997702262e-05
1,4126,4250,125,0.8761575136184693,1.5197559220737899e-05
1,4251,4375,125,0.8765614461898804,1.4913199844948047e-05
1,4376,4500,125,0.8863101897239685,1.462351842077285e-05
1,4501,4625,125,0.8881081376075745,1.4328831310890808e-05
1,4626,4750,125,0.8717178783416748,1.4029460344717341e-05
1,4751,4875,125,0.8704250769615174,1.3725732466933116e-05
1,4876,5000,125,0.8655636968612671,1.3417979380425961e-05
1,5001,5125,125,0.8724324736595154,1.3106537184036328e-05
1,5126,5250,125,0.8828107695579529,1.2791746005501868e-05
1,5251,5375,125,0.8777622351646424,1.2791746005501868e-05
1,5376,5500,125,0.8717654504776001,1.2473949630002081e-05
