sample_start,sample_end,num_samples,step_start,step_end,num_steps,tokens_start,tokens_end,num_tokens,avg_total_loss,avg_reconstruction_loss,avg_sparsity_loss,avg_sparsity,avg_zero_ratio,avg_l0_norm,avg_l1_norm,avg_avg_nonzero_activation,sparsity_coefficient,lr
55001,56000,1000,5501,5600,100,80200647,81631064,1430417,0.047562605626881124,0.04734338045120239,0.00021922520571024506,0.9999992841482163,0.9999992841482163,0.029385903393849732,0.0002953524743497837,0.009075374640524388,5.0,0.0
56001,57000,1000,5601,5700,100,81631064,83098407,1467343,0.04761221494525671,0.04744356766343117,0.00016864717194039257,0.999999407529831,0.999999407529831,0.02437892208341509,0.000228315073363774,0.008795848386362194,5.0,0.0
57001,58000,1000,5701,5800,100,83098407,84540121,1441714,0.04760008577257395,0.047389379814267156,0.00021070604570923025,0.9999993008375168,0.9999993008375168,0.028677101971115917,0.0002835239571868442,0.009064191267825664,5.0,0.0
58001,59000,1000,5801,5900,100,84540121,85994611,1454490,0.047439629957079885,0.047224063947796824,0.00021556610456173076,0.9999992692470551,0.9999992692470551,0.030217400279361754,0.00029173084505600854,0.008943776013329624,5.0,0.0
59001,60000,1000,5901,6000,100,85994611,87467420,1472809,0.04773273445665836,0.04735938630998135,0.00037334830489271553,0.999998876452446,0.999998876452446,0.04585398043040186,0.0005083610937981575,0.00916368342936039,5.0,0.0
60001,61000,1000,6001,6100,100,87467420,88950579,1483159,0.04779922556132078,0.04717391427606344,0.0006253112121339655,0.9999983578920364,0.9999983578920364,0.06758170252200216,0.0008389461457772995,0.009222486345097423,5.0,0.0
61001,62000,1000,6101,6200,100,88950579,90419355,1468776,0.047478187158703805,0.047219880297780036,0.00025830677783233113,0.9999991822242736,0.9999991822242736,0.033679418219253424,0.0003514366832314408,0.009030341161414981,5.0,0.0
62001,63000,1000,6201,6300,100,90419355,91870702,1451347,0.04805934734642506,0.04738533176481724,0.0006740157382955658,0.99999815762043,0.99999815762043,0.07539147871313617,0.0009184423267106467,0.008982758256606757,5.0,0.0
63001,64000,1000,6301,6400,100,91870702,93309802,1439100,0.047687855698168274,0.04733532708138227,0.00035252868242423573,0.9999989050626755,0.9999989050626755,0.04500929272267967,0.00048144581976885094,0.009187582419253887,5.0,0.0
64001,65000,1000,6401,6500,100,93309802,94782515,1472713,0.047629707269370554,0.04731019679456949,0.0003195103535654198,0.9999990534782409,0.9999990534782409,0.038777535657864064,0.00042922257067402826,0.009029218382202088,5.0,0.0
65001,66000,1000,6501,6600,100,94782515,96217964,1435449,0.04753204580396414,0.04723947789520025,0.0002925678533028986,0.9999991077184677,0.9999991077184677,0.03655412437859923,0.00038991800294752466,0.00905194029211998,5.0,0.0
66001,67000,1000,6601,6700,100,96217964,97696423,1478459,0.04747518613934517,0.047223615162074566,0.0002515709623003204,0.9999991500377655,0.9999991500377655,0.03469770848751068,0.0003390283298358554,0.008950400659814476,5.0,0.0
67001,68000,1000,6701,6800,100,97696423,99138342,1441919,0.04743817947804928,0.0471788327395916,0.00025934669643902454,0.9999991399049759,0.9999991399049759,0.03494114311411977,0.000351259909766668,0.009019616558216512,5.0,0.0
68001,69000,1000,6801,6900,100,99138342,100596867,1458525,0.04755821265280247,0.04727192889899015,0.00028628370544538486,0.999999086856842,0.999999086856842,0.03760790455853567,0.0003862397805460205,0.008965875930152833,5.0,0.0
69001,70000,1000,6901,7000,100,100596867,102093672,1496805,0.04752810403704643,0.04729625206440687,0.00023185209742223378,0.99999924659729,0.99999924659729,0.03108953188173473,0.00031423416823599836,0.009059213981963694,5.0,0.0
70001,71000,1000,7001,7100,100,102093672,103542600,1448928,0.047638316713273524,0.047394445650279525,0.00024387089672018192,0.9999992036819458,0.9999992036819458,0.032792641054838895,0.00032897854451221066,0.009171195412054658,5.0,0.0
71001,72000,1000,7101,7200,100,103542600,104976416,1433816,0.04756486933678389,0.04731571175158024,0.00024915769359722616,0.999999161362648,0.999999161362648,0.034641212802380326,0.00033618377674429214,0.009121371717192232,5.0,0.0
72001,73000,1000,7201,7300,100,104976416,106432185,1455769,0.047482413351535795,0.04726720083504915,0.00021521254104300169,0.9999992829561234,0.9999992829561234,0.02945146889425814,0.0002895685324256192,0.00906917521264404,5.0,0.0
73001,74000,1000,7301,7400,100,106432185,107896663,1464478,0.0475538569688797,0.047322368063032624,0.00023148893600591692,0.9999991995096207,0.9999991995096207,0.032734759389422836,0.00031301054954383287,0.00901894983369857,5.0,0.0
